  The type of the variability: RR          
TZ    Scl |000049.2-284901. |RR        | 14.6    |  15.6      |p |
NSV 11395 |185148.6-564801. |RR        | 14.1    |  15.0      |p |
V0353 Lyr |185201.8+451831. |RR        | 16.     |  17.       |p |
KR    Sct |185203.1-100556. |RR        | 15.6    |  16.6      |p |
KS    Sct |185209.0-113105. |RR        | 15.7    |  16.3      |p |
KV    Sct |185216.2-105334. |RR        | 14.1    |  14.6      |p |
GP    Tel |185219.9-540727. |RR        | 14.8    |  16.1      |p |
LN    Sct |185229.1-101235. |RR        | 15.6    |  16.3      |p |
LY    Sct |185252.5-085712. |RR        | 15.7    |  16.8      |p |
MN    Sct |185258.8-084206. |RR        | 16.2    |  17.1      |p |
MU    Tel |185303.0-560021. |RR        | 14.6    |  15.4      |p |
DD    Pav |185351.3-600727. |RR        | 14.8    |< 16.3      |p |
NO    Sct |185351.5-101322. |RR        | 15.4    |  16.6  :   |p |
NSV 11449 |185408.1-574606. |RR        | 15.2    |  15.9      |p |
NX    Sct |185422.1-101201. |RR        | 15.6    |  17.3      |p |
OT    Sct |185438.4-055848. |RR        | 15.4    |  16.7      |p |
CD    Dra |185451.6+522844. |RR        | 15.     |  16.       |p |
PR    Sct |185510.1-105746. |RR        | 16.0    |  16.9      |p |
QR    Sct |185524.3-054448. |RR        | 16.9    |  17.2      |p |
QT    Sct |185538.3-091409. |RR        | 15.8    |  16.7      |p |
V0348 Sct |185747.8-080906. |RR        | 13.3    |  14.1      |p |
V0353 Sct |185806.9-094153. |RR        | 16.8    |  17.8  :   |p |
V0357 Sct |185808.0-044146. |RR        | 15.2    |  16.6      |p |
V0355 Sct |185809.6-081502. |RR        | 14.0    |  14.5      |p |
V0359 Sct |185822.7-095242. |RR        | 15.5    |  16.0      |p |
V0445 Lyr |185825.6+413549. |RR        | 15.3    |  17.3      |p |
V0363 Sct |185829.7-100713. |RR        | 15.7    |  16.6      |p |
NSV 11622 |185835.7+402301. |RR        | 16.     |  16.5      |p |
CZ    CrA |185854.7-411634. |RR        | 14.3    |  15.3      |p |
NSV 11637 |185920.8+454406. |RR        | 15.     |  15.5      |p |
V0930 Aql |185922.7-082142. |RR        | 15.0    |  16.7      |p |
V0932 Aql |185931.3-081716. |RR        | 15.4    |  16.3      |p |
HV    Aql |190102.0+001451. |RR        | 14.4    |  15.0      |p |
V2094 Sgr |190108.2-124620. |RR        | 14.6    |  15.3      |p |
NSV 11679 |190145.3+421435. |RR        | 15.     |  15.5      |p |
V0360 Lyr |190158.5+462646. |RR        | 15.5    |  16.5      |p |
V1063 Sgr |190211.1-165224. |RR        | 14.9    |  15.6      |p |
V0946 Aql |190231.4-063253. |RR        | 15.2    |  16.9      |p |
NSV 11702 |190249.6+534718. |RR        | 15.     |  15.5      |p |
V1104 Aql |190340.2+144418. |RR        | 17.     |  18.       |p |
V1106 Aql |190425.6+141334. |RR        | 17.5    |  18.5      |p |
RY    Vul |190433.8+244625. |RR        | 12.7    |  13.4      |p |
V0365 Lyr |190903.3+451727. |RR        | 15.5    |  16.5      |p |
V0366 Lyr |190940.6+461718. |RR        | 15.5    |  16.5      |p |
V0451 Lyr |191015.6+452536. |RR        | 16.6    |  18.4      |p |
V0368 Lyr |191053.4+432455. |RR        | 16.     |  17.       |p |
V0367 Lyr |191109.3+422607. |RR        | 15.     |  16.       |p |
NSV 11814 |191208.7+421832. |RR        | 12.5    |  13.0      |p |
V0427 Sgr |191550.5-184711. |RR        | 14.7    |  16.0      |p |
DZ    Pav |191616.7-713741. |RR        | 16.1    |  16.7      |p |
V1104 Cyg |191800.4+504518. |RR        | 14.5    |  15.5      |p |
V1106 Cyg |191901.5+532516. |RR        | 14.     |  15.       |p |
V1109 Cyg |191932.3+534120. |RR        | 16.5    |  17.5      |p |
V1107 Cyg |191945.3+470604. |RR        | 15.5    |  16.5      |p |
V1207 Aql |191948.9+001541. |RR        | 16.5    |  17.       |p |
V1209 Aql |192031.1+002457. |RR        | 16.     |  16.5      |p |
V1211 Aql |192047.1-013145. |RR        | 15.5    |  17.       |p |
V1215 Aql |192224.9+012759. |RR        | 15.3    |< 16.0      |p |
V1221 Aql |192323.9+044849. |RR        | 15.5    |  16.       |p |
V1116 Cyg |192403.2+513953. |RR        | 14.     |  15.       |p |
V1227 Aql |192434.7+031059. |RR        | 16.5    |  17.5      |p |
V1118 Cyg |192442.9+523251. |RR        | 16.     |  17.       |p |
CI    Dra |192532.4+564332. |RR        | 15.5    |  17.       |p |
V1121 Cyg |192618.1+535328. |RR        | 16.     |  17.       |p |
XX    Oct |192656.1-750735. |RR        | 16.0    |  16.5      |p |
V1122 Cyg |192825.1+305412. |RR        | 14.5    |  16.3      |p |
V1244 Aql |192937.1+034356. |RR        | 16.     |  17.       |p |
V2149 Sgr |193001.7-392235. |RR        | 15.     |  15.5      |p |
V1249 Aql |193141.6+032335. |RR        | 15.5    |  16.5      |p |
V1127 Cyg |193205.7+511749. |RR        | 15.     |  16.       |p |
V1254 Aql |193337.4+031510. |RR        | 16.     |  16.5      |p |
V0896 Cyg |193346.9+334329. |RR        | 15.0    |  15.8      |p |
V1139 Aql |193348.1+032649. |RR        | 16.0    |< 17.       |p |
V2150 Sgr |193455.0-441446. |RR        | 13.5    |  14.5      |p |
NSV 12171 |193456.8+060908. |RR        | 16.     |  16.5      |p |
V1270 Aql |193646.3-001027. |RR        | 16.     |  16.5      |p |
V1137 Cyg |193654.8+510346. |RR        | 16.     |  17.       |p |
V1271 Aql |193711.7-010237. |RR        | 15.     |  16.       |p |
NSV 12210 |193723.6+054012. |RR        | 16.     |  16.5      |p |
V2152 Sgr |193751.6-405134. |RR        | 14.5    |  15.5      |p |
V1372 Aql |193836.7+082441. |RR        | 14.7    |  15.1      |p |
V2156 Sgr |193932.6-415103. |RR        | 14.5    |  15.5      |p |
V0416 Pav |193933.5-652851. |RR(B)     | 12.9    |  13.7      |V |
V1007 Aql |193947.6+161125. |RR        | 16.     |  17.       |p |
V2157 Sgr |194014.4-392159. |RR        | 13.     |  14.       |p |
V2159 Sgr |194023.0-361159. |RR        | 13.5    |  15.       |p |
V2160 Sgr |194041.2-385201. |RR        | 13.     |  14.       |p |
V2161 Sgr |194043.2-383608. |RR        | 14.     |  15.       |p |
V2162 Sgr |194049.9-373713. |RR        | 15.     |  15.5      |p |
V2163 Sgr |194136.1-384327. |RR        | 15.     |  16.       |p |
V2164 Sgr |194210.1-394540. |RR        | 14.5    |  15.5      |p |
V2170 Sgr |194246.4-403342. |RR        | 14.5    |  15.       |p |
V2171 Sgr |194250.9-402017. |RR        | 15.     |  15.5      |p |
V2172 Sgr |194318.4-384341. |RR        | 15.     |  16.       |p |
V1026 Aql |194409.0+144437. |RR        | 15.2    |  15.7      |p |
V2174 Sgr |194427.8-372504. |RR        | 15.     |  16.       |p |
V2175 Sgr |194429.8-391723. |RR        | 13.5    |  14.5      |p |
V2177 Sgr |194439.8-393454. |RR        | 15.     |  16.       |p |
V2176 Sgr |194453.3-441655. |RR        | 13.     |  14.       |p |
V2178 Sgr |194513.2-405906. |RR        | 16.     |  17.       |p |
V2180 Sgr |194517.7-373815. |RR        | 14.5    |  15.5      |p |
V2181 Sgr |194525.6-382518. |RR        | 13.5    |  14.5      |p |
V2179 Sgr |194540.5-445444. |RR        | 14.     |  14.5      |p |
V2183 Sgr |194614.8-384925. |RR        | 14.     |  15.       |p |
V2182 Sgr |194620.9-412507. |RR        | 16.     |  16.5      |p |
V1031 Aql |194636.2-035907. |RR        | 16.     |  17.       |p |
V1032 Aql |194645.2-040018. |RR        | 16.     |  17.       |p |
V2187 Sgr |194724.0-450355. |RR        | 13.     |  14.       |p |
V2190 Sgr |194745.7-423017. |RR        | 16.     |  17.       |p |
V2189 Sgr |194746.4-434544. |RR        | 15.     |  15.5      |p |
V1158 Aql |194747.4-033606. |RR        | 15.     |  16.       |p |
V2191 Sgr |194805.8-423949. |RR        | 14.     |  15.       |p |
V2192 Sgr |194816.9-401852. |RR        | 14.     |  14.5      |p |
V2193 Sgr |194817.4-385824. |RR        | 15.     |  16.       |p |
V2194 Sgr |194818.2-383033. |RR        | 14.     |  15.       |p |
GS    Vul |194826.5+213215. |RR        | 16.     |  17.       |p |
V1308 Aql |194847.4+072215. |RR        | 17.0    |  17.4      |p |
V1039 Aql |194957.6+011104. |RR        | 15.5    |  16.5      |p |
V2196 Sgr |195022.1-445702. |RR        | 14.     |  15.       |p |
V2197 Sgr |195045.8-445729. |RR        | 14.5    |  15.5      |p |
V2198 Sgr |195122.9-412552. |RR        | 13.5    |  14.       |p |
V1161 Aql |195138.1+072930. |RR        | 15.     |  16.       |p |
FO    Pav |195142.2-624408. |RR        | 11.3    |  12.2      |p |
V2199 Sgr |195206.8-392324. |RR        | 16.     |  17.       |p |
V2200 Sgr |195210.4-382536. |RR        | 15.     |  16.       |p |
V5845 Sgr |195226.9-231754. |RR(B)     | 14.82   |  15.35     |CV|
V2202 Sgr |195243.9-385752. |RR        | 14.     |  15.       |p |
LW    Pav |195311.8-575420. |RR        | 15.8    |< 16.8      |p |
KL    Vul |195325.5+223425. |RR        | 16.     |  17.       |p |
V2203 Sgr |195347.4-395533. |RR        | 15.     |  16.       |p |
V2204 Sgr |195416.1-390715. |RR        | 15.     |  16.       |p |
V2205 Sgr |195441.5-433049. |RR        | 15.5    |  16.5      |p |
FW    Pav |195455.8-602844. |RR        | 14.5    |< 16.0      |p |
FX    Pav |195456.8-602553. |RR        | 13.2    |  14.0      |p |
OZ    Cyg |195515.7+381535. |RR        | 16.6    |  17.9      |p |
V2206 Sgr |195521.1-450408. |RR        | 14.5    |  15.5      |p |
V0381 Tel |195612.0-504346. |RR(B)     | 12.05   |  12.80     |V |
V2210 Sgr |195615.4-413505. |RR        | 14.5    |  15.5      |p |
V1017 Cyg |195615.8+531912. |RR        | 15.8    |  16.5      |p |
V2211 Sgr |195642.5-393528. |RR        | 14.     |  15.5      |p |
DZ    Sge |195702.0+160644. |RR        | 16.     |  17.       |p |
V1069 Aql |195718.5+033432. |RR        | 14.     |  15.       |p |
SW    Pav |195725.7-664648. |RR        | 11.8    |  12.6      |p |
QQ    Cyg |195732.9+380531. |RR        | 14.4    |  15.1      |p |
V2213 Sgr |195752.7-392959. |RR        | 15.     |  15.5      |p |
V0739 Aql |195839.7-044921. |RR        | 14.2    |  15.7      |p |
V2214 Sgr |195914.8-395254. |RR        | 15.     |  16.       |p |
V2217 Sgr |195926.4-382622. |RR        | 14.     |  15.       |p |
V2215 Sgr |195927.1-425400. |RR        | 15.     |  15.5      |p |
V2216 Sgr |195941.3-432956. |RR        | 15.5    |  16.5      |p |
V2218 Sgr |195951.9-444553. |RR        | 15.     |  16.1      |p |
V2219 Sgr |195958.4-392255. |RR        | 14.5    |  15.       |p |
V2220 Sgr |200022.6-443102. |RR        | 14.5    |  15.       |p |
V2222 Sgr |200042.3-402858. |RR        | 15.5    |  16.       |p |
V2223 Sgr |200131.0-391140. |RR        | 14.     |  15.       |p |
V1172 Aql |200223.0-003208. |RR        | 16.     |  17.       |p |
MU    Vul |200234.3+225806. |RR        | 11.5    |  12.0      |p |
V2226 Sgr |200312.0-363615. |RR        | 15.     |  16.       |p |
V2227 Sgr |200324.6-400856. |RR        | 13.5    |  14.5      |p |
V1173 Aql |200331.6+021420. |RR        | 16.     |  16.5      |p |
V2228 Sgr |200446.8-401527. |RR        | 14.5    |  15.5      |p |
V5847 Sgr |200447.8-371503. |RR(B)     | 14.7    |  15.4      |CV|
V1089 Aql |200459.7+103650. |RR        | 14.6    |  15.5      |p |
V1174 Aql |200507.2-042428. |RR        | 15.     |  16.5      |p |
V2229 Sgr |200526.4-423730. |RR        | 13.     |  14.       |p |
V1175 Aql |200554.8+021716. |RR        | 15.5    |  16.5      |p |
HV    Tel |200609.6-523452. |RR        | 14.0    |  15.2      |p |
V2231 Sgr |200643.5-420245. |RR        | 15.     |  16.       |p |
V0782 Aql |200714.4+012931. |RR        | 15.0    |  16.0      |p |
HX    Tel |200726.8-451919. |RR        | 14.     |  15.       |p |
V2232 Sgr |200727.3-434910. |RR        | 11.5    |  12.5      |p |
V2233 Sgr |200737.3-411048. |RR        | 15.     |  16.       |p |
V1176 Aql |200755.0+030057. |RR        | 15.     |  16.5      |p |
V2236 Sgr |200822.0-405705. |RR        | 14.5    |  15.5      |p |
GR    Pav |200825.4-722257. |RR        | 15.6    |  16.4      |p |
V2237 Sgr |200840.2-355856. |RR        | 13.     |  14.       |p |
V2239 Sgr |200909.7-414932. |RR        | 12.     |  13.       |p |
V1181 Cyg |201025.8+543844. |RR        | 16.5    |  17.       |p |
V2240 Sgr |201052.0-433718. |RR        | 13.5    |  14.       |p |
EY    Sge |201054.2+212659. |RR        | 16.     |  17.5      |p |
V2241 Sgr |201104.5-425203. |RR        | 15.     |  16.       |p |
V2242 Sgr |201130.3-375535. |RR        | 15.5    |  16.5      |p |
V2244 Sgr |201147.1-383942. |RR        | 13.5    |  14.5      |p |
KR    Vul |201152.9+220547. |RR        | 16.     |  17.       |p |
KQ    Vul |201159.3+222400. |RR        | 15.5    |  16.5      |p |
V2245 Sgr |201202.1-382346. |RR        | 14.5    |  15.5      |p |
V2246 Sgr |201230.5-374406. |RR        | 13.     |  13.5      |p |
V1184 Cyg |201233.1+541616. |RR        | 16.2    |  17.0      |p |
V2247 Sgr |201304.2-380938. |RR        | 15.5    |  16.5      |p |
V2248 Sgr |201313.5-375942. |RR        | 13.5    |  14.       |p |
V1100 Aql |201326.6-015412. |RR        | 15.5    |  16.5      |p |
V1370 Cyg |201350.0+402823. |RR        | 16.6    |  17.9      |p |
V2249 Sgr |201403.7-381731. |RR        | 15.5    |  16.       |p |
HO    Pav |201414.0-590343. |RR        | 15.5    |< 16.0      |p |
V2251 Sgr |201519.6-373915. |RR        | 15.     |  16.       |p |
V2253 Sgr |201641.5-373908. |RR        | 15.     |  16.       |p |
V2252 Sgr |201651.5-413856. |RR        | 16.     |  16.5      |p |
V2254 Sgr |201730.2-410431. |RR        | 14.     |  15.       |p |
V1178 Aql |201810.9-005120. |RR        | 15.     |  16.       |p |
V2258 Sgr |201819.8-385345. |RR        | 14.5    |  15.5      |p |
V2259 Sgr |201837.8-431809. |RR        | 14.5    |  16.       |p |
V2262 Sgr |201853.2-413111. |RR        | 14.5    |  15.       |p |
V1179 Aql |201923.6-012102. |RR        | 15.     |  16.       |p |
V2263 Sgr |201948.8-404032. |RR        | 14.5    |  15.       |p |
V2264 Sgr |202009.3-384420. |RR        | 14.     |  15.       |p |
V2266 Sgr |202055.0-361651. |RR        | 13.     |  14.5      |p |
HZ    Pav |202129.6-605949. |RR        | 15.0    |< 16.0      |p |
V2268 Sgr |202301.4-422150. |RR        | 15.     |  16.       |p |
V2270 Sgr |202328.1-383804. |RR        | 15.     |  16.       |p |
CF    Del |202331.3+125930. |RR        | 13.9    |  14.8      |p |A5
V2271 Sgr |202340.6-393732. |RR        | 15.5    |  16.5      |p |
V0911 Aql |202347.3+033650. |RR        | 15.6    |  16.7      |p |
GH    Del |202348.3+135831. |RR        | 14.9    |  16.0      |p |
HI    Del |202557.7+175643. |RR        | 16.0    |< 17.0      |p |
SW    Ind |203026.2-481459. |RR        | 12.5    |  14.       |p |
AS    Ind |203228.5-552759. |RR        | 13.9    |  14.6      |p |
SX    Mic |203306.2-384640. |RR        | 13.65   |  14.14     |V |
IR    Pav |203316.1-733247. |RR        | 16.0    |< 16.5      |p |
LM    Vul |203452.4+231138. |RR        | 16.5    |  17.5      |p |
TW    Mic |203852.6-420314. |RR        | 14.5    |  15.1      |p |
LQ    Vul |203914.1+242044. |RR        | 16.5    |  17.5      |p |
V1203 Cyg |204212.6+325122. |RR        | 16.5    |  17.5      |p |
WY    Ind |204430.9-454137. |RR        | 14.9    |  16.4      |p |
WX    Ind |204432.1-461630. |RR        | 13.1    |  14.1      |p |
KS    Pav |204616.0-601318. |RR        | 16.2    |< 17.2      |p |
AU    Ind |204616.1-583639. |RR        | 15.8    |< 16.9      |p |
V1209 Cyg |204656.7+332114. |RR        | 17.     |  18.       |p |
V1214 Cyg |204923.9+345640. |RR        | 16.     |  17.       |p |
KU    Pav |204924.9-604447. |RR        | 15.5    |< 16.5      |p |
XY    Ind |204927.0-590430. |RR        | 15.0    |< 16.0      |p |
YZ    Ind |205101.1-582643. |RR        | 15.0    |< 16.0      |p |
HS    Del |205324.3+171023. |RR        | 16.0    |  17.0      |p |
NSV 13394 |205435.0-125145.*|RR        | 15.4    |  16.0      |p |
HT    Del |205439.5+171202. |RR        | 15.6    |  16.7      |p |
EL    Del |205523.1+025735. |RR        | 14.1    |  15.0      |p |
GX    Del |205629.1+175251. |RR        | 14.5    |  15.7      |p |
AF    Ind |205636.1-591004. |RR        | 14.2    |  15.3      |p |
X     Equ |210012.1+091422. |RR        | 13.6    |  15.0      |p |
NSV 13458 |210123.8-103959.*|RR        | 12.9    |  13.7      |p |
V0367 Aqr |210309.3-011211. |RR(B)     | 16.1    |  16.9      |CV|
AG    Mic |210402.6-424754. |RR        | 15.7    |  16.8      |p |
AI    Ind |210510.6-463253. |RR        | 15.1    |  16.2      |p |
RW    Equ |210610.3+102306. |RR        | 13.1    |  13.7      |p |
QW    Aqr |210726.1+011018. |RR(B)     | 13.01   |  14.22     |V |
AI    Mic |210801.4-392808. |RR        | 13.8    |  14.6      |p |
V1227 Cyg |210826.8+454900. |RR        | 16.     |  17.       |p |
NSV 13556 |210840.3-151343.*|RR        | 16.2    |  16.7      |p |
NSV 13563 |210919.8-155041.*|RR        | 15.4    |  16.0      |p |
AQ    Mic |211337.2-422957. |RR        | 15.6    |  16.7      |p |
V1237 Cyg |211726.9+373447. |RR        | 15.     |  16.5      |p |
V0368 Aqr |212046.9+001237. |RR(B)     | 16.0    |  16.7      |r'|
AY    Mic |212125.9-433207. |RR        | 14.6    |  15.3      |B |
AZ    Mic |212148.9-422936. |RR        | 16.4    |  17.6      |B |
BF    Ind |212158.7-462158. |RR        | 18.6    |  19.5      |B |
NSV 13672 |212245.5-135638.*|RR        | 14.3    |  15.1      |p |
BB    Mic |212252.8-431531. |RR        | 15.9    |  16.9      |B |
BC    Mic |212315.6-433459. |RR        | 17.5    |  18.5      |B |
BD    Mic |212359.2-431057. |RR        | 17.8    |  18.9      |B |
BE    Mic |212450.0-440049. |RR        | 13.7    |  14.9      |B |
BF    Mic |212509.6-431441. |RR        | 16.7    |  17.5      |B |
BG    Mic |212513.6-443954. |RR        | 17.2    |  18.5      |B |
BH    Mic |212516.4-444618. |RR        | 15.8    |  16.7      |B |
V0369 Aqr |212629.4-002054. |RR(B)     | 19.7    |  20.2      |r'|
FK    Peg |212632.9+104855. |RR        | 16.2    |  16.9      |p |
NSV 25592 |212639.0-424430. |RR        | 16.9    |  17.6      |B |
BK    Mic |212710.0-444356. |RR        | 19.6    |  20.4      |B |
CR    Cap |212721.2-190759. |RR(B)     | 12.9    |  14.2      |V |
BL    Mic |212724.6-433753. |RR        | 16.9    |  18.4      |B |
NSV 25603 |212840.6-423157. |RR        | 17.6    |  18.4      |B |
FQ    Peg |212925.3+115051. |RR        | 16.3    |  17.2      |p |
V0370 Aqr |212933.6-004330. |RR(B)     | 14.38   |  14.88     |CV|
FX    Peg |213304.3+143259. |RR        | 16.4    |  17.1      |p |
BQ    Gru |213330.5-450953. |RR        | 19.6    |  20.4      |B |
NSV 25663 |213354.6-465823. |RR        | 16.6    |  17.3      |B |
BR    Gru |213417.1-443821. |RR        | 15.5    |  16.3      |B |
BS    Gru |213423.3-464039. |RR        | 16.1    |  17.2      |B |
Z     Gru |213437.1-490729. |RR        | 11.80   |  12.61     |V |F0-F7:
BT    Gru |213709.2-461144. |RR        | 17.1    |  18.4      |B |
BU    Gru |213711.8-440222. |RR        | 17.4    |  18.8      |B |
BV    Gru |213931.1-425137. |RR        | 16.4    |  17.6      |B |
SX    PsA |213943.3-305339. |RR        | 12.5    |  13.5      |p |
BW    Gru |213958.3-461906. |RR        | 15.2    |  16.2      |B |
BX    Gru |214029.9-423419. |RR        | 15.7    |  16.5      |B |
BY    Gru |214041.3-465635. |RR        | 14.4    |  15.4      |B |
CH    Peg |214123.1+231039. |RR        | 13.2    |  13.8      |p |
V1573 Cyg |214228.1+431558. |RR        | 17.2    |< 17.6      |p |
CM    Peg |214306.7+234427. |RR        | 14.8    |  15.8      |p |
ST    Gru |215058.3-461146. |RR        | 14.5    |  15.       |p |
V0373 Aqr |215623.9+005630. |RR(B)     | 18.3    |  18.9      |r'|
SU    Gru |215842.2-425516. |RR        | 13.5    |  14.       |p |
SW    Gru |215911.1-442104. |RR        | 13.5    |  14.       |p |
AO    Ind |220029.1-502940. |RR        | 12.3    |  14.5      |p |
SX    Gru |220421.4-452505. |RR        | 12.5    |  13.5      |p |
SY    Gru |220445.8-434235. |RR        | 14.5    |  15.5      |p |
GN    Lac |220651.5+432257. |RR        | 15.     |  16.       |p |
V0375 Aqr |220654.3-010515. |RR(B)     | 17.7    |  18.2      |r'|
SZ    Gru |220817.9-423633. |RR        | 16.     |  17.       |p |
AL    Aqr |221045.8-214652. |RR        | 14.1    |  15.1      |p |
AN    Aqr |221111.3-184112. |RR        | 13.5    |  14.3      |p |
GP    Lac |221217.5+453053. |RR        | 15.5    |  16.5      |p |
TU    Gru |221336.5-415817. |RR        | 14.5    |  15.5      |p |
TV    Gru |221405.7-433747. |RR        | 14.5    |  15.       |p |
TW    Gru |221507.2-445013. |RR        | 14.     |  14.5      |p |
TX    Gru |221617.6-414037. |RR        | 14.5    |  15.       |p |
TY    Gru |221639.4-395617. |RR        | 13.5    |  14.       |p |
RU    PsA |222024.4-260810. |RR        | 13.2    |  14.8      |p |
V0379 Aqr |222214.3+010100. |RR(B)     | 17.1    |  17.6      |r'|
AW    Aqr |222454.7-233843. |RR        | 15.0    |< 16.2      |p |
UY    Gru |222620.2-405929. |RR        | 13.5    |  14.       |p |
UZ    Gru |222655.9-403143. |RR        | 13.5    |  14.5      |p |
AZ    Aqr |222713.1-244341. |RR        | 14.7    |  15.6      |p |
GU    Aqr |222843.1-005115. |RR        | 13.4    |  15.0      |p |
V0380 Aqr |224200.1-004222. |RR(B)     | 20.0    |  20.6      |r'|
WZ    Gru |224446.0-422142. |RR        | 13.     |  14.       |p |
SZ    PsA |225140.5-275114. |RR        | 12.5    |  13.5      |p |
AI    Gru |225917.4-434917. |RR        | 14.     |  15.       |p |
AG    PsA |230449.1-334514. |RR(B)     | 12.79   |  14.04     |V |
AQ    Oct |230851.7-771116. |RR        | 14.5    |  15.       |p |
AW    Oct |232040.7-802912. |RR        | 16.     |  17.       |p |
LL    Psc |232147.1+001408. |RR(B)     | 19.8    |  20.6      |r'|
AQ    Gru |232218.0-420524. |RR        | 12.     |  13.       |p |
DT    Phe |232747.0-460801. |RR        | 14.4    |  15.0      |* |
BL    Tuc |233133.2-731919. |RR        | 15.     |  15.5      |p |
TV    Scl |235254.7-301031. |RR        | 14.3    |  15.4      |p |
TW    Scl |235441.6-332853. |RR        | 13.5    |< 14.4      |p |A7hb
TX    Scl |235522.3-261807. |RR        | 12.5    |  13.7      |p |F0hb
CZ    Phe |235621.8-532922. |RR(B)     | 12.4    |  13.4      |V |
TY    Scl |235806.7-334510. |RR        | 14.3    |  15.8      |p |
HU    Peg |235922.1+134712. |RR        | 12.0    |  13.5      |p |
